"data","disparo","cidade","bairro","cod_bairro","local","outras_regioes","fonte","fonte2","tipo_operacao","media_fonte","media_link","presenca_civil","presenca_pmerj","presenca_uniao"
"23/02/2018",0,"Rio de Janeiro","Senador Camará",142,"Vila Aliança","Coreia","SAER","Twitter","ND","Folha de São Paulo","https://www1.folha.uol.com.br/cotidiano/2018/02/forcas-armadas-fazem-operacao-em-tres-favelas-do-rio.shtml","SAER",,
"26/02/2018",0,"Rio de Janeiro","Lins de Vasconcelos",62,,,"GAM",,"ND",,,,"GAM",
"26/02/2018",0,"Rio de Janeiro","Vigário Geral",48,"Furquim Mendes",,"SAER",,"ND",,,"SAER",,
"26/02/2018",0,"Rio de Janeiro","Vila Kennedy",162,,,"Twitter",,"ND",,,,,
"27/02/2018",0,"Rio de Janeiro","Senador Camará",142,"Vila Aliança","Coreia","Twitter",,"ND","UOL","https://noticias.uol.com.br/cotidiano/ultimas-noticias/2018/02/27/com-helicoptero-e-tanques-exercito-faz-nova-operacao-na-zona-oeste-do-rio.htm",,,
"28/02/2018",1,"Rio de Janeiro","Maré",157,"Conjunto Esperança","Vila Do João;Vila Do Pinheiro;Conjunto Pinheiro;Salsa e Merengue","Nudedh","Facebook","Mandados","O Globo","https://oglobo.globo.com/rio/moradores-relatam-intenso-tiroteio-no-complexo-da-mare-nesta-quarta-feira-22441304","SAER;CORE;DRF;DRFC",,
"02/03/2018",0,"Rio de Janeiro","Vicente de Carvalho",73,"Serrinha","Madureira","GAM",,"ND",,,,"GAM",
"02/03/2018",0,"São Gonçalo","Jardim Catarina",,"Jardim Catarina",,"SAER","Twitter","ND","O Globo","https://oglobo.globo.com/rio/forcas-de-seguranca-fazem-operacao-em-sao-goncalo-na-regiao-metropolitana-do-rio-22449059","SAER;CORE",,"EXÉRCITO"
"06/03/2018",0,"Niterói","Preventório",,,,"SAER",,"ND",,,"SAER",,
"07/03/2018",0,"Seropédica",,,,,"SAER",,"ND",,,"SAER",,
"08/03/2018",0,"Seropédica",,,,,"SAER",,"ND",,,"SAER",,
"09/03/2018",0,"Rio de Janeiro","Senador Camará",142,"Vila Aliança",,"GAM",,"ND",,,,"GAM",
"12/03/2018",0,"Rio de Janeiro","Praça Seca",124,"Covanca",,"GAM",,"ND",,,,"GAM",
"13/03/2018",0,"Rio de Janeiro","Praça Seca",124,"Bateau Mouche",,"GAM",,"ND",,,,"GAM",
"15/03/2018",0,"Rio de Janeiro","Praça Seca",124,"Covanca",,"GAM",,"ND",,,,"GAM",
"15/03/2018",0,"Niterói",,,,,"GAM",,"ND",,,,"GAM",
"16/03/2018",0,"Itaguaí",,,,,"SAER",,"ND",,,,,
"16/03/2018",0,"ND",,,,,"Twitter",,"ND",,,,,
"17/03/2018",0,"Rio de Janeiro","Complexo do Alemão",156,"Fazendinha",,"GAM",,"ND",,,,"GAM",
